[Header]	
System	TOC-L 9mL	
S/W Version	1.00	
User		
Date/Time	8/1/2022 12:00:08 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	SD Conc	CV Conc	Vial	Excluded	Inj. Vol.	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220729_NPOC_0-50ppm.cal	1.00		7/29/2022 1:33:05 PM	1	1	NPOC	0.8664	0.9143	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	1	0	50	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220729_NPOC_0-50ppm.cal	1.00		7/29/2022 1:35:52 PM	1	2	NPOC	0.6495	0.9143	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	1	1	50	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220729_NPOC_0-50ppm.cal	1.00		7/29/2022 1:39:45 PM	1	3	NPOC	0.9049	0.9143	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	1	0	50	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220729_NPOC_0-50ppm.cal	1.00		7/29/2022 1:43:50 PM	1	4	NPOC	0.9717	0.9143	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	1	0	50	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220729_TN_0-3ppm.cal	1.00		7/29/2022 1:33:05 PM	1	1	TN	0.000	0.08863	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	1	0	50	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220729_TN_0-3ppm.cal	1.00		7/29/2022 1:35:52 PM	1	2	TN	0.000	0.08863	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	1	0	50	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220729_TN_0-3ppm.cal	1.00		7/29/2022 1:39:45 PM	1	3	TN	0.8025	0.08863	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	1	1	50	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220729_TN_0-3ppm.cal	1.00		7/29/2022 1:43:50 PM	1	4	TN	0.2659	0.08863	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	1	0	50	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220729_NPOC_0-50ppm.cal	1.00		7/29/2022 1:54:11 PM	1	1	NPOC	0.7593	0.3089	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	2	1	50	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220729_NPOC_0-50ppm.cal	1.00		7/29/2022 1:56:55 PM	1	2	NPOC	0.4421	0.3089	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	2	0	50	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220729_NPOC_0-50ppm.cal	1.00		7/29/2022 1:59:39 PM	1	3	NPOC	0.2638	0.3089	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	2	0	50	
