[Header]	
System	TOC-L 9mL	
S/W Version	1.00	
User		
Date/Time	9/12/2022 11:36:20 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	SD Conc	CV Conc	Vial	Excluded	Inj. Vol.	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220819_NPOC_0-100ppm.cal	1.00		8/19/2022 6:12:50 PM	1	1	NPOC	0.3202	0.3237	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	0	0	50	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220819_NPOC_0-100ppm.cal	1.00		8/19/2022 6:17:03 PM	1	2	NPOC	0.2321	0.3237	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	0	0	50	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220819_NPOC_0-100ppm.cal	1.00		8/19/2022 6:21:16 PM	1	3	NPOC	0.4188	0.3237	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	0	0	50	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220819_TN_0-5ppm.cal	1.00		8/19/2022 6:12:50 PM	1	1	TN	0.1799	0.5325	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	0	0	50	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220819_TN_0-5ppm.cal	1.00		8/19/2022 6:17:03 PM	1	2	TN	0.000	0.5325	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	0	1	50	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220819_TN_0-5ppm.cal	1.00		8/19/2022 6:21:16 PM	1	3	TN	0.7181	0.5325	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	0	0	50	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220819_TN_0-5ppm.cal	1.00		8/19/2022 6:28:22 PM	1	4	TN	0.6996	0.5325	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	0	0	50	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220819_NPOC_0-100ppm.cal	1.00		8/19/2022 6:36:55 PM	1	1	NPOC	0.3123	0.3284	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	0	0	50	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220819_NPOC_0-100ppm.cal	1.00		8/19/2022 6:41:08 PM	1	2	NPOC	0.4005	0.3284	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	0	0	50	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220819_NPOC_0-100ppm.cal	1.00		8/19/2022 6:45:21 PM	1	3	NPOC	0.5401	0.3284	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	0	1	50	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220819_NPOC_0-100ppm.cal	1.00		8/19/2022 6:47:43 PM	1	4	NPOC	0.2725	0.3284	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	0	0	50	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_method.met	C:\TOC-L\CalCurves\20220819_TN_0-5ppm.cal	1.00		8/19/2022 6:36:55 PM	1	1	TN	0.09410	0.03753	0.000	0.000	NPOC:0.000mg/L TN:0.000mg/L	0.000	0.00	0	0	50	
