[Header]	
System	9 mL TOC-L with TNM	
S/W Version	1.00	
User	sg	
Date/Time	7/12/2022 5:44:49 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Vial	Excluded	Inj. Vol.	Auto. Dil.	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2022\NPOC_0-50ppm_2022_07_08.cal	1.00		7/8/2022 10:19:52 AM	1	1	NPOC	1.205	0.000	NPOC:0.000mg/L TN:0.000mg/L	91	1	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2022\NPOC_0-50ppm_2022_07_08.cal	1.00		7/8/2022 10:22:35 AM	1	2	NPOC	0.8772	0.000	NPOC:0.000mg/L TN:0.000mg/L	91	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2022\NPOC_0-50ppm_2022_07_08.cal	1.00		7/8/2022 10:25:20 AM	1	3	NPOC	0.9539	0.000	NPOC:0.000mg/L TN:0.000mg/L	91	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2022\NPOC_0-50ppm_2022_07_08.cal	1.00		7/8/2022 10:27:46 AM	1	4	NPOC	0.8011	0.000	NPOC:0.000mg/L TN:0.000mg/L	91	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2022\TN_0-3ppm_2022_07_08.cal	1.00		7/8/2022 10:19:52 AM	1	1	TN	0.2008	0.000	NPOC:0.000mg/L TN:0.000mg/L	91	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2022\TN_0-3ppm_2022_07_08.cal	1.00		7/8/2022 10:22:35 AM	1	2	TN	0.1826	0.000	NPOC:0.000mg/L TN:0.000mg/L	91	0	50	1.000	
Unknown	NPOC/TN	CondBlank1	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2022\TN_0-3ppm_2022_07_08.cal	1.00		7/8/2022 10:25:20 AM	1	3	TN	0.1905	0.000	NPOC:0.000mg/L TN:0.000mg/L	91	0	50	1.000	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2022\NPOC_0-50ppm_2022_07_08.cal	1.00		7/8/2022 10:37:17 AM	1	1	NPOC	0.5958	0.000	NPOC:0.000mg/L TN:0.000mg/L	92	0	50	1.000	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2022\NPOC_0-50ppm_2022_07_08.cal	1.00		7/8/2022 10:40:02 AM	1	2	NPOC	0.4977	0.000	NPOC:0.000mg/L TN:0.000mg/L	92	0	50	1.000	
Unknown	NPOC/TN	CondBlank2	Untitled	C:\TOC-L\Methods\9mL_NPOC_TN_50uL_CORRECT_method.met	C:\TOC-L\CalCurves\2022\NPOC_0-50ppm_2022_07_08.cal	1.00		7/8/2022 10:42:47 AM	1	3	NPOC	1.026	0.000	NPOC:0.000mg/L TN:0.000mg/L	92	1	50	1.000	
