Plot,Sapflux_ID,Tree_ID
C,C1,1384
C,C2,1385
C,C3,1425
C,C4,1325
C,C5,1330
C,C6,1411
C,C7,1439
C,C9,1456
C,C10,1387
C,C11,1395
C,C12,1328
C,C13,1407
C,C14,1412
C,C15,1432
C,C16,1390
C,C17,1380
C,C18,1452
C,C19,1451
C,C20,1319
F,F1,1578
F,F2,1576
F,F3,1552
F,F4,1561
F,F5,1591
F,F6,1551
F,F7,1520
F,F8,1521
F,F9,1592
F,F10,1546
F,F11,1548
F,F12,1563
F,F13,1519
F,F14,1543
F,F15,1516
F,F16,1596
F,F17,1580
F,F18,1569
F,F19,1559
F,F20,1573
S,S1,1771
S,S2,1790
S,S3,1783
S,S4,1781
S,S5,1778
S,S6,1773
S,S7,1733
S,S8,1788
S,S9,1865
S,S10,1775
S,S11,1772
S,S12,1776
S,S13,1848
S,S14,1851
S,S15,1829
S,S16,1839
S,S17,1868
S,S18,1780
S,S19,1835
S,S20,1749
